Authors,Title & Publication,Date,Summary,Summary,Method,Category,Country,Link
"Erik Brynjolfsson, Danielle Li, & Lindsey R. Raymond",Generative AI at Work – Quarterly Journal of Economics,Apr 2023,"Studied a staggered rollout of an AI assistant for 5,000+ customer support agents. Access to the tool increased issues resolved per hour by ~14% on average (and +34% for novice workers, with minimal gains for experienced workers)[1]. The AI helpdesk disseminated best practices, boosted productivity especially for junior staff, improved customer sentiment, and reduced employee turnover[2].","• Studies staggered deployment of AI chat assistant for ~5,000 customer support agents. Tool built on (pre-ChatGPT) GPT-3; rollout Oct 2020 - May 2021.
• Tool increased successfully resolved user chats by 15% per agent per hour. Time per chat declined, number of simultaneous chats per agent increased, and slightly higher % of chats are resolved successfully.
• Most of the effect comes from newer & less skilled workers, who see 30% increase in chats resolved/hour. Tools makes workers w/ 2 months experience perform like those w/ 6 months exp. Experienced & higher skilled workers see small speed gains; best workers see small quality declines.
• Agents who follow AI recommendations more closely have bigger productivity gains, which last even during AI API outages.
• Biggest improvements come on ""relatively rare"" problems, where agents have less experience but AI training data exists. AI is little help on very rare problems.
• AI improves customer satisfaction and drives reduces attrition of newer agents.",Experimental,Productivity Impact,US,QJE 2025 Article (open access)
Shakked Noy & Whitney Zhang,Experimental evidence on the productivity effects of generative AI – Science,Jul 2023,"Ran a randomized experiment with 453 professionals doing writing tasks, with half given access to ChatGPT. ChatGPT raised productivity substantially: average task completion time fell ~40% and output quality improved ~18%[3]. The productivity boost was larger for weaker writers, narrowing skill disparities[4]. Many treated workers adopted ChatGPT in their real jobs afterward.","• Gave 400+ college educated professionals writing tasks, half of them prompted to use ChatGPT (2023).
• ChatGPT group took 37% less time on tasks (17 minutes vs 27 minutes), got 0.45 SD higher evaluations. In fixed-time task, ChatGPT group scored 0.39 SD better.
• Primarily substitution effect: 68% of treatment group submitted ChatGPT output without editing; spending longer on task after producing AI output didn't increase quality. Raw ChatGPT output scored similarly to human+AI output.
• AI halved time spent drafting the response and doubled time spent editing. Participants were willing to pay ~0.5% of their monthly salary for ChatGPT access.
• AI use increased job satisfaction by 0.4 SD, feelings of self-efficacy by 0.2 SD, fear of automation in subject's profession by 0.26 SD, belief that AI will boost productivity by .39 SD, and overall optimism about AI advances by 0.2 SD.
• In follow-up survey, treatment group were more likely (33% vs 18%) to be using ChatGPT in their jobs; those who weren't mostly said it was because AI didn't have relevant context specific knowledge for their field or company.",Experimental,Productivity Impact,US,Science 381(6654):187–192 (2023)
"Leonardo Gambacorta, Han Qiu, Shuo Shan, Daniel Rees",Generative AI and labour productivity: a field experiment on coding – BIS Working Paper No. 1208,Sep 2024,"Conducted a field experiment at Ant Group where a team of programmers received an AI coding assistant (“CodeFuse”) while a control group did not. Programmers with the AI tool wrote ~55% more code (lines) than those without[5]. Productivity gains were statistically significant only for junior developers; senior programmers saw little change, apparently using the tool less often[6]. This suggests AI coding assistance can dramatically boost output for less-experienced coders.","• Experiment from Sept - Nov 2023 at Ant Group involving ~1,200 coders, split between those with and without access to CodeFuse, a new coding assistance LLM. Primary measure = lines of code produced/week
• Group with access to LLM saw a 53% increase in code production relative to control group. Of this, 11-18pp was due to coders using direct LLM outputs, and 36-43pp due to time saving, likely from the LLM helping coders overcome obstacles in coding.
• Entry level and junior coders had 67% increase in code produced; senior coders no significant change.
• Senior coders used AI 70% less than juniors, but acceptance rate for AI suggestions (15-20%) was the same across groups.",Experimental,Productivity Impact,China,BIS Working Paper 1208 (Sept 2024)
"Kevin Z. Cui, Mert Demirer, Sonia Jaffe, Leon Musolff, Sida Peng, Tobias Salz",The Effects of Generative AI on High-Skilled Work: Evidence from Three Field Experiments with Software Developers(working paper),Aug 2025,"Analyzed three large RCTs at Microsoft, Accenture, and another firm (~4,867 software developers in total) where some were given GitHub Copilot (an AI code autocompletion tool). Pooled results show developers with AI completed 26% more tasks per week than the control group[7][8]. Adoption and gains were higher for less-experienced developers. In other words, AI coding tools significantly improved productivity, especially for junior programmers.","• Pools three experiments randomizing access to Copilot among SWE at Microsoft (Sept 2022), Accenture (July 2023), and another Fortune 100 company (Oct 2023).
• Use of Copilot increased weekly completed tasks (pull requests) by 26%, commits by 13.5%, and number of code compiles by 38%.
• MSFT only: Approval rate for PRs rose 10% after Copilot adoption; other measures of quality (number of comments, number of merge conflicts, odds of approval by any reviewer) saw no significant change.
• MSFT only: newer employees 9% more likely to adopt Copilot and more likely to continue using, juniors 5% more likely to adopt; newer employees increase output by 27-39% with Copilot, long-tenured by 8-13%; juniors increase by 21-40%, seniors by 7-16%.",Experimental,Productivity Impact,US,SSRN Working Paper (Aug 2025)
"Menaka Hampole, Dimitris Papanikolaou, Lawrence D.W. Schmidt, Bryan Seegmiller",Artificial Intelligence and the Labor Market – NBER Working Paper No. 33509,Feb 2025,"Developed task-level AI exposure measures for U.S. occupations (2010–2023) and studied firm-level outcomes. They find tasks with higher AI exposure subsequently see lower labor demand[9]. Within firms, two factors matter: the average exposure of a job’s tasks (which depresses demand) and the concentration of that exposure in a few tasks (which offsets losses by allowing workers to shift to other tasks)[10]. Causal tests confirm these patterns[11][12]. Overall employment effects are modest – reduced demand in AI-exposed roles is largely offset by productivity-driven job growth at firms adopting AI[13].","• Develops new measure of task-level exposure to AI from 2010 to 2023 (largely before generative AI). 
• They identify two dimensions of exposure: the average replaceability of a job's task (higher = reduced demand) and the proportion of a job's tasks that are highly exposed (lower = offset lossess, as newly productive workers shift to other tasks).
• Within-firm employment in most exposed occupations fell by ~3% relative to least exposed occupations over the studied time period. But at the economy-wide level, employment in those occupations actually rose slightly, because the firms with more of those workers expanded due to greater productivity gains from AI.
• Some less-exposed occupations, like food preparation and serving, experienced declines that may be due to slower productivity gains from their employers as a result of lower AI adoption.",Quasi-Experimental,Employment Impact (Pre-LLM),US,SSRN Working Paper (July 2025)
"Anders Humlum, Emilie Vestergaard","Large Language Models, Small Labor Market Effects – NBER Working Paper No. 33777",May 2025,"Examined early labor-market impacts of AI chatbot adoption in Denmark by linking firm AI adoption surveys to worker administrative records. Using diff-in-diff, they find essentially no short-run effect on earnings or hours worked – ruling out changes beyond about 2% even two years after adoption[14]. This “zero” result holds even for intensive AI users, early adopters, high-investment firms, young workers, etc. Adoption did prompt some occupational switching and task restructuring within firms, but no net change in total hours or pay[15]. The authors conclude that fears of imminent AI-driven disruption are not yet borne out in aggregate data[16].","• Examines labor impact of AI chatbots in Denmark by surveying 25,000 workers in 11 exposed occupations in late 2024 and linking individual survey responses to government labor market records of earnings, hours, and occupation.
• Even though AI adoption in Denmark is similar to the U.S., and the Danish labor market is highly flexible, they find zero effects of AI chatbot adoption on earnings or hours, even for workers who use AI tools daily or work in firms that encourage the use of AI.
• On the other hand, they find that AI users are slightly more likely to have switched to new jobs, although without net gains in hours or earnings.
• Firms that encourage and invest in AI use have seen no changes in employment levels, wage bills, job creation or destruction, or composition of hiring and firing decisions. This result holds even when isolating early career workers. ",Quasi-Experimental,Employment Impact,Denmark,NBER WP 33777 (rev. Oct 2025)
"Erik Brynjolfsson, Bharat Chandar, Ruyu Chen",Canaries in the Coal Mine? Six Facts about the Recent Employment Effects of AI -- Stanford Digital Economy Lab WP,Aug 2025,"Used high-frequency payroll data (ADP) to document how U.S. jobs in AI-exposed occupations have changed since generative AI’s widespread adoption. They report that entry-level workers (age 22–25) in the most AI-exposed occupations experienced a 13% decline in employment relative to less-exposed groups (after controlling for firm shocks)[17]. Meanwhile, employment for older workers in the same jobs or for less-exposed occupations continued to grow[18]. The adjustment came mostly via reduced hiring (employment) rather than wage cuts. Losses were concentrated in roles where AI is more likely to automate (vs. augment) tasks[19]. These patterns provide early evidence that the AI revolution is disproportionately impacting junior hires in certain white-collar fields.","• Use ADP payroll data to examine changes in the labor market since the release of generative AI tools.
• Since 2022, early career workers in the most exposed jobs have seen a 13% decline in employment relative to less exposed fields and more experienced workers. The AI effect for early career workers showed up primarily in employment level, not wages.
• Employment declines were concentrated in fields where AI is more likely to automate than augment human labor, which they measure by estimating whether Claude queries in an occupation substitute or complement for relevant tasks.",Quasi-Experimental,Employment Impact,US,Stanford Dig. Economy Lab WP (Aug 2025)
"Sarah E. Eckhardt, Nathan Goldschlag",AI and Jobs: The Final Word (Until the Next One) – EIG Report,Aug 2025,"Analyzed U.S. Current Population Survey data (2022–2025) using multiple occupation-level AI exposure indices. They find no evidence of AI-driven job losses so far. In fact, the unemployment rate rose less for the most AI-exposed quintile of workers (+0.3 percentage points) than for the least exposed quintile (+0.9 pp) since ChatGPT’s release[20]. Similarly, highly exposed workers did not exit the labor force at higher rates (if anything, they exit slightly less) and are not systematically shifting to less-exposed occupations. In sum, high-AI-exposure workers are, if anything, faring better in the current labor market than other workers, contradicting “job apocalypse” fears[21][20].","• Finds no aggregate effects of generative AI on the labor force in an analysis of Current Population Survey data from 2022 to 2025 using multiple job- and firm-level AI exposure measures.
• Since 2022, the unemployment rate has risen more for the least AI-exposed workers than for the most.
• The share of workers exiting the labor force is lowest (and stable) for the most exposed quintile of workers.
• The most AI-exposed quintile of workers switches occupations more often than less exposed workers, but the switching rate is lower than it was before the Covid pandemic and has not risen since 2022.
• Unemployment for young workers (22 - 27 year olds) in the most exposed quintile has risen, but less quickly and from lower levels than for young workers in other quintiles.
• Isolating to the information sector, where businesses are three times more likely than average to say they use AI, employment trends show no break with the introduction of generative AI.
• Publishing and data processing, the sectors most likely to use AI, have seen roughly flat employment since 2022 after Covid-era surges. [APR: not a very robust DiD measure, but non fancy stuff is maybe better]",Descriptive,Employment Impact,US,EIG Analysis (Aug 2025)
"Jacob Dominski, Yong Suk Lee",Advancing AI Capabilities and Evolving Labor Outcomes (arXiv preprint),Jul 2025,"Constructed a dynamic AI Exposure indexfor occupations (using GPT-4 and Claude to assess tasks) and compared CPS outcomes before vs. after the late-2022 AI breakthrough. They find occupations with higher AI exposure saw larger declines in employment and full-time work, and bigger rises in unemployment, from late 2022 to late 2024[22][23]. The negative effects concentrate among certain groups – notably older and younger workers, men, and college-educated workers in high-exposure jobs[24]. Occupations heavy in complex reasoning tasks had greater drops in employment and hours, whereas manual task-based jobs were less affected[23]. This suggests nascent AI-driven labor shifts along both the extensive (job loss) and intensive (hours) margins, with heterogeneous impacts by demographic and task type.","• Using a novel measure of AI exposure, they analyze CPS data to identify labor market shifts after the release of ChatGPT.
• Finds that from 2022 to 2025, a 10 point increase (on a 0 to 100 scale) in AI exposure is associated with a 5-8pp decline in total employment and a 0.64-0.68pp increase in unemployment. A 10 point increase is also associated with small hours reductions and ~1pp decline in the share of full time (relative to part time) workers. 
• Attempt to control for post-pandemic effects on remote work.",Quasi-Experimental,Employment Impact,US,arXiv preprint (Jul 2025)
"Martha Gimbel, Molly Kinder, Joshua Kendall, Maddie Lee",Evaluating the Impact of AI on the Labor Market: Current State of Affairs – Yale Budget Lab,Oct 2025,"Took a broad, aggregate look at U.S. labor market data ~33 months after ChatGPT’s debut. They find no discernible economy-wide disruption attributable to AI (yet). The pace of occupational mix change since late 2022 is only slightly above historical norms and actually predates GenAI’s introduction[25][26]. Moreover, occupations deemed more “AI-exposed” have not seen greater employment declines or higher unemployment than other occupations so far[27]. In short, despite popular anxieties, the overall U.S. job market has not (to date) shown significant AI-related dislocation, though the authors caution that better data and longer horizons are needed for future monitoring.","* Broad look at the impact of AI on the US labor market from late 2022 to late 2025.
• No discernible disruption to the aggregate labor market, but they note that past technological disruptions have taken decades, not years, to play out.
• The overall mix of jobs has changed at about the same rate as in past technological eras, and any increase in disruption started in January 2021 or before. The industries that have shown the biggest shifts since 2022--information, finance, and professional services--have historically had higher than average rates of volatility, with no recent increase. Overall economic volatilty is lower than in the mid-twentieth century.
• The job market for recent grads (20-24) has been changing slightly faster than for older grads (25-34) since about 2023. This could be evidence of AI disruption to labor market entrants, but the different is small and consistent with a slowing overall labor market hitting younger workers harder.
• Using OpenAI AI exposure estimates, they find no trends in employment or unemployment associated with relative exposure level.
• Using Anthropic's current usage measure, they find no trend in employment or unemployment in occupations with high AI usage, whether coded as augmenting or automating usage.
• They note data limitations: OpenAI's exposure measure captures theoretical ability for automation, not actual workplace adoption and diffusion. Also note that OpenAI exposure measure is only weakly correlated with Anthropic's usage measure.",Descriptive,Employment Impact,US,Yale Budget Lab Report (Oct 2025)
